,sentence
0,"['cornell', 'tech', 'privacy', 'policy']"
1,"['skip', 'main', 'content']"
2,['academic']
3,"['master', 'program']"
4,['overview']
5,"['jacob', 'technioncornell', 'dual', 'degree', 'connective', 'medium', 'concentration']"
6,"['jacob', 'technioncornell', 'dual', 'degree', 'health', 'tech', 'concentration']"
7,"['jacob', 'technioncornell', 'dual', 'degree', 'urban', 'tech', 'concentration']"
8,"['johnson', 'cornell', 'tech', 'mba']"
9,"['master', 'engineering', 'computer', 'science']"
10,"['master', 'engineering', 'electrical', 'computer', 'engineering']"
11,"['master', 'engineering', 'operation', 'research', 'information', 'engineering']"
12,"['master', 'law', 'llm', 'law', 'technology', 'entrepreneurship']"
13,"['phd', 'post', 'doctoral', 'program']"
14,"['phd', 'study']"
15,"['runway', 'startup', 'postdoc']"
16,['studio']
17,"['studio', 'comprised', 'intensely', 'immersive', 'interdisciplinary', 'team', 'experience', 'provide', 'master', 'student', 'hand', 'real', 'world', 'skill', 'challenge', 'expand', 'role', 'chosen', 'field']"
18,['overview']
19,['curriculum']
20,"['studio', 'practice']"
21,"['real', 'world', 'outcome']"
22,['admission']
23,"['admission', 'event', 'jacob', 'technioncornell', 'dual', 'degree', 'application', 'johnson', 'cornell', 'tech', 'mba', 'application', 'master', 'engineering', 'application', 'master', 'law', 'llm', 'application', 'tuition', 'fee']"
24,['impact']
25,"['alumnus', 'k12', 'initiative', 'community', 'runway', 'startup', 'woman', 'technology', 'entrepreneurship', 'new', 'york', 'art']"
26,['research']
27,"['humancomputer', 'interaction', 'hci', 'social', 'computing', 'security', 'privacy', 'artificial', 'intelligence', 'robotics', 'data', 'modeling', 'law', 'policy']"
28,['people']
29,"['faculty', 'practitioner', 'researcher', 'phd', 'student', 'leadership', 'board', 'overseer']"
30,['campus']
31,"['emma', 'georgina', 'bloomberg', 'center', 'tata', 'innovation', 'center', 'house', 'cornell', 'tech']"
32,"['jacob', 'institute']"
